product,size,price,in_stock,category,date_added
WHITE DRESS,XXL,139.25,TRUE,Dresses,06/21/2025
silver tie,XL,54.45,FALSE,Accessories,22-Jan-2026
khaki shorts,XS,42.05,TRUE,Bottoms,13-Nov-2024
red shirt,L,"43,200",TrUe,Tops,2026-04-14
khaki shorts,M,61.12,FALSE,Bottoms,09/09/2024
blue pants,XS,46.4, false,Bottoms,2024-12-23
gray sweater,M,58.49,FALSE,Tops,11/17/2025
sports socks,XS,,TRUE,Accessories,04/28/2025
green hoodie,x l,free,,Tops,2026-02-13
blue shirt,Large,58.26,TRUE,Tops,2026-05-01
,XXL,35.0,TRUE,Tops,2025-05-28
denim jacket, XL ,132.91,FALSE,Outerwear,05-Oct-2024
leather wallet,,,TRUE,Accessories,2025-12-05
white tuxedo,xl,624.92,,Formal,06/25/2025
 black tuxedo ,XS,816.49,FALSE,Formal,2024-08-22
yellow skirt,S,81.67,unknown,Bottoms,25-Mar-2025
denim_jacket,XS,187.23,TRUE,Outerwear,13-Mar-2025
black boots,l,200.82,FALSE,Shoes,09/30/2025
red shirt,M,303.5,TRUE,Tops,12-Nov-2024
navy blazer,XL,279.62,FALSE,Formal,15-Jul-2025
green hoodie,M,40.47,TRUE,Tops,25-Aug-2024
 black tuxedo ,S,$701.09,,Formal,2025-01-23
white tuxedo,S,241.21,TRUE,Formal,2024-10-21
black tuxedo,Large,277.23,TRUE,Formal,2024-11-26
silver tie,S,,FALSE,Accessories,2025-03-01
pink blouse,XXL,-82.11,,Tops,02-Dec-2024
pink blouse, S ,,FALSE,Tops,2025-10-25
brown belt,s,,TRUE,Accessories,01-Feb-2025
silver tie, XS ,"23,67",,Accessories,10-Nov-2024
green hoodie,XS,84.28,FALSE,Tops,27-Jun-2025
yellow skirt,XXL,,1,Bottoms,2026-02-12
Denim Jacket,XS,6823.999999999999,,Outerwear,2026-04-04
denim jacket,m,87.12,TRUE,Outerwear,2025-11-12
, m,46.74,unknown,Accessories,2025-11-03
Black Boots,XXL,,Y,Shoes,02-Oct-2025
leather wallet,L ,,TRUE,Accessories,2026-05-29
blue pants,XS,89.99,,Bottoms,2024-11-10
blue pants,s,83.49,FALSE,Bottoms,2025-11-08
black tuxedo,XS,824.7,,Formal,08-Oct-2024
??,XS,58.05,FALSE,Outerwear,2025-06-03
silver tie, S ,60.55,FALSE,Accessories,2026-04-12
denim jacket,M,free,unknown,Outerwear,2025-05-19T01:40:00
gray sweater,M,101.34,N,Tops,10/01/2025
white sneakers,XXL,120.95,TRUE,Shoes,06/16/2025
White Sneakers,XS,166.76,FALSE,Shoes,06/28/2025
blue shirt,S,52.3,Y,Tops,2026-02-06
Black Jeans,XXL,109.91,TRUE,Bottoms,01-May-2025
red shirt,XXL,54.22,TRUE,Tops,2025-03-21
gray sweater,XXL,42.06,TRUE,Tops,2026-03-12
denim jacket,xl,197.72,FALSE,Outerwear,2025-02-12
blue pants,M,70.75,FALSE,Bottoms,2024-11-09
,med,-82.17,TRUE,Tops,01/01/2025
gray sweater,L ,65.46,FALSE,Tops,2025-11-02
 denim jacket ,XXL,$143.56,FALSE,Outerwear,21-Feb-2025
black jeans,XXL,,FALSE,Bottoms,26-Jun-2025
black jeans,XL,free,FALSE,Bottoms,2025-05-03
silver tie,XS,31.16,FALSE,Accessories,14-Nov-2024
??,XL,64.53,FALSE,Outerwear,26-Dec-2024
pink blouse,L,109.56,No,Tops,2024-12-18
blue shirt,,54.83,unknown,Tops,
Silver Tie,s,23.97,1,Accessories,2024-09-25
yellow skirt,XL,"105,32",Y,Bottoms,2024-10-19
yellow skirt,M,66.20 USD,,Bottoms,26-Feb-2025
WHITE TUXEDO,XL,511.35,TRUE,Formal,
pink blouse,med,,FALSE,Tops,13/40/2024
navy blazer,XL,,unknown,Formal,12-Nov-2025
blue shirt,XXL,31.53,TRUE,Tops,13-Oct-2024
denim jacket,m,117.76,TRUE,Outerwear,2025-10-04
yellow skirt,xs,107.2  ,TRUE,Bottoms,04/25/2025
BLUE PANTS,S,66.61 USD,Y,Bottoms,29-Dec-2024
sports socks,N,10.77,FALSE,Accessories,2025-08-29
blue shirt,L,,TRUE,Tops,2025-06-17
white tuxedo,L,210.98,TRUE,Formal,21-Jul-2025
sports socks,S,23.35,FALSE,Accessories,07-Jan-2026
DENIM JACKET, m,132.35,Yes,Outerwear,10/21/2024
black boots,x l,248.72,TRUE,Shoes,23-Jul-2025
brown belt,N,,FALSE,Accessories,2025-01-20
unknown product,M,111.22,FALSE,Tops,21-Oct-2024
denim jacket,Large,64.88,FALSE,Outerwear,2024-09-30T16:14:00
YELLOW SKIRT, M ,36.83,,Bottoms,24-Sep-2024
Black Tuxedo,N,336.08,TrUe,Formal,04/02/2025
silver tie,N,36.65,FALSE,Accessories,23-Mar-2025
NAVY BLAZER,M,348.88,TRUE,Formal,01-Dec-2025
black tuxedo,L,free,FALSE,Formal,2025-08-27
white tuxedo,Large,,1,Formal,02-Dec-2025
gray sweater,M,85.08,FALSE,Tops,08/16/2024
brown belt,M,46.05,FALSE,Accessories,06/04/2025
blue shirt,M,44.89,TRUE,Tops,2026-01-13
green hoodie,M,68.33,TRUE,Tops,10/17/2025
Black Boots,S,196.29,unknown,Shoes,2025-05-27
gray sweater,L,110.37,N,Tops,2025-01-22
unknown product,S,154.64,TRUE,Bottoms,2025-02-04
white dress,XL,-171.49,unknown,Dresses,18-Dec-2024
green hoodie,M,56.61 USD,FALSE,Tops,17-Aug-2025
brown belt,L,33.75,TRUE,Accessories,16-Mar-2025
sports socks,XS,10.04,FALSE,Accessories,2026-05-07
,,72.53, false,Accessories,2025-12-09
gray sweater,M,127.67,FALSE,Tops,2025-10-17
green hoodie,XS,40.59  ,TRUE,Tops,27-Jul-2025
DENIM JACKET,XXL,147.8,FALSE,Outerwear,24-Dec-2024
blue pants,XL,-42.32,FALSE,Bottoms,2026-01-15
sports socks,L,11.46,TRUE,Accessories,2025-10-25
denim jacket,med,186.27,TRUE,Outerwear,2025-09-14
navy blazer,XS,173.39,TRUE,Formal,2026-05-25
brown belt,x l,53.16  ,TRUE,Accessories,2025-06-07
green hoodie,l,5047.0,TRUE,Tops,2024-10-02
green hoodie,XL,48.98,1,Tops,03/16/2025
silver tie,XS,31.98,TRUE,Accessories,2024-08-22
silver tie,M,51.59,0,Accessories,12/31/2024
white tuxedo,s,252.99,FALSE,Formal,2025-02-07T14:32:00
black boots,L,-270.75,TRUE,Shoes,09/24/2025
green hoodie,S,45.63 ,TRUE,Tops,01/30/2026
black tuxedo,XL,"681,73",TRUE,Formal,19-Aug-2024
brown belt,L,-17.37,TRUE,Accessories,25-Sep-2024
white tuxedo,S,316.05,TRUE,Formal,2025-07-29
sports socks,S,224.4,FALSE,Accessories,04-Aug-2025
green hoodie,x l,74.53  ,No,Tops,11/09/2024
Red Shirt,L,358.29999999999995,TRUE,Tops,30-Jan-2026
gray sweater,One Size,123.89,TRUE,Tops,11-Dec-2024
leather wallet,One Size,4800.0,unknown,Accessories,05-Dec-2025
red shirt, XXL ,27.49,No,Tops,13-Oct-2024
silver tie,M,-46.95,TRUE,Accessories,21-Feb-2025
yellow skirt,XL,38.33,,Bottoms,10/28/2024
black tuxedo,M,,0,Formal,04-Oct-2025
blue shirt,XXL,,T,Tops,2024-10-16
navy blazer,,140.73,TRUE,Formal,2024-10-26
white tuxedo,s,$603.55,Y,Formal,2025-07-03
white sneakers,S,115.0,FALSE,Shoes,05/18/2025
green hoodie,XXL,$83.87,TRUE,Tops,09-Oct-2025
gray sweater,XS,115.24,FALSE,Tops,2025-06-15
White Dress,s,171.0,Y,Dresses,02-Sep-2024
leather wallet, L ,-91.89,FALSE,Accessories,28-Sep-2025
green hoodie,XL,"86,18",TRUE,Tops,16-Sep-2025
khaki shorts,XS,30.52  ,N,Bottoms,06/13/2025
sports socks,L ,18.92,FALSE,Accessories,2025-04-23
white dress,xs,190.37,TRUE,Dresses,2025-07-15
blue shirt,XXL,57.88,TRUE,Tops,12/03/2025
leather wallet,L,91.59,TRUE,Accessories,17-Aug-2024
,S,$33.48,TRUE,Outerwear,25-Oct-2024
black_tuxedo,M,$549.12,FALSE,Formal,2025-03-16
White Tuxedo,XL,"530,78",FALSE,Formal,2024-12-21
sports socks,XXL,22.11,TRUE,Accessories,12/18/2025
Navy Blazer,XL,,TRUE,Formal,
green hoodie,XXL,75.3,FALSE,Tops,2025-11-14
gray sweater, L ,86.08,No,Tops,2025-09-19
pink blouse, M ,57.89,,Tops,14-Jul-2025
black tuxedo,S,$623.42,TRUE,Formal,2025-12-26
white sneakers,XS,144.99,TRUE,Shoes,2026-01-26
khaki shorts,L,30.8,TRUE,Bottoms,04/27/2025
gray sweater,L,free,unknown,Tops,11/20/2025
khaki shorts,,33.06 USD,TRUE,Bottoms,2025-07-19
yellow skirt,XS,-49.88,unknown,Bottoms,
brown belt,S,23.46,FALSE,Accessories,2024-08-17
WHITE SNEAKERS,S,149.63,N,Shoes,24-Dec-2025
PINK BLOUSE,M,35.97,unknown,Tops,2025-07-23
NAVY BLAZER,L ,188.32, false,Formal,2024-11-04T18:06:00
green hoodie,XL,85.53,TRUE,Tops,2025-05-16
pink-blouse ,S,5361.0,FALSE,Tops,2025-05-17
sports socks,S,18.27,FALSE,Accessories,2026-05-07
WHITE TUXEDO,L,,FALSE,Formal,10/24/2025
black tuxedo,XL,724.84,TRUE,Formal,2025-07-04
WHITE DRESS,XL,251.06,,Dresses,01/27/2026
blue pants,XL,$63.71,FALSE,Bottoms,
,s,56.18 ,TRUE,Outerwear,2025-04-29
white dress,L,161.23,FALSE,Dresses,
denim jacket,M,192.63,TRUE,Outerwear,03-Feb-2025
white dress,L,245.45,TRUE,Dresses,06-Aug-2025
denim jacket,XXL,188.56,TRUE,Outerwear,10/24/2025
leather wallet,L ,46.34,TRUE,Accessories,31-Dec-2025
white dress,XL,208.63,FALSE,Dresses,26-Jun-2025
pink blouse,XS,88.2,FALSE,Tops,02/04/2025
black boots,xs,,FALSE,Shoes,
khaki shorts,,26.8,FALSE,Bottoms,09/24/2025
white tuxedo,S,439.11 ,N,Formal,11-Oct-2025
pink blouse,M,,TRUE,Tops,07/23/2025
pink blouse,XXL,36.71,FALSE,Tops,2026-03-26
white tuxedo,L,273.32,unknown,Formal,21-Jan-2026
yellow skirt,med,51.77,TRUE,Bottoms,29-Mar-2025
,XXL,110.72,FALSE,Formal,08/18/2024
gray sweater,XXL,"102,030",F,Tops,29-Oct-2024
navy blazer,M,"198,010",FALSE,Formal,24-Dec-2024
,XL,38.34 USD,TRUE,Bottoms,07/13/2025
leather wallet,S,82.55,FALSE,Accessories,27-Dec-2024
black-jeans, XS ,87.73,TRUE,Bottoms,2024-09-12
gray sweater,XL,456.4,FALSE,Tops,10/30/2025
black jeans,XXL,78.34,,Bottoms,2025-10-30
denim jacket,XS,78.8,unknown,Outerwear,2025-07-08
white sneakers,XXL,112.44,TRUE,Shoes,2024-10-27
yellow skirt,S,33.45,FALSE,Bottoms,2026-01-08
Gray Sweater,XS,131.99 USD,,Tops,
WHITE SNEAKERS,M,61.28,TRUE,Shoes,2025-02-04
white sneakers,XXL,51.73,TrUe,Shoes,01/26/2026
black_tuxedo,M,$549.12,FALSE,Formal,2025-03-16
leather wallet,xxl,38.38,TRUE,Accessories,21-Oct-2025
blue shirt,xs,"33,81",FALSE,Tops,2025-01-31
red shirt,Large,35.66,FALSE,Tops,2025-04-22
yellow skirt, XS ,71.14,FALSE,Bottoms,2025-03-31
blue-pants,S,,TRUE,Bottoms,2025-10-16T22:08:00
yellow skirt,S,5259.5,,Bottoms,26-Nov-2025
silver  tie,XS,59.95,0,Accessories,02/21/2025
blue pants,M,833.5,FALSE,Bottoms,2025-02-10
leather wallet,XL,111.86,TRUE,Accessories,03/02/2025
white dress,S,143.65,FALSE,Dresses,2026-03-17
red shirt,XXL,30.48,FALSE,Tops,2026-04-02
white tuxedo,3XL,465.6,FALSE,Formal,01/26/2026
silver tie,L,39.15,TRUE,Accessories,2025-01-20T03:26:00
black boots,XXL,,,Shoes,29-Jan-2025
blue pants,XL,69.93,TRUE,Bottoms,25-Sep-2024
red shirt,M,43.3,TRUE,Tops,2025-07-08
,XL,-28.83,TRUE,Formal,2025-04-28
white tuxedo,XXL,621.57,N,Formal,2026-03-25
blue pants,S,,TRUE,Bottoms,18-Dec-2025
blue pants,XXL,89.24,FALSE,Bottoms,01/15/2025
pink blouse,L,68.36,TRUE,Tops,01-Jan-2026
blue shirt,XXL,25.46,FALSE,Tops,01/23/2026
white  dress,s,-238.28,TRUE,Dresses,11-Sep-2025
khaki shorts,XL,64.91,FALSE,Bottoms,24-Jan-2026
brown belt, XL ,38.61,,Accessories,2026-05-02
blue pants,XL,56.9,FALSE,Bottoms,19-Sep-2024
black boots,,-269.26,FALSE,Shoes,23-Jan-2025
black boots,L,275.31,,Shoes,25-Jun-2025
khaki shorts,XXL,32.8,TRUE,Bottoms,09/02/2025
sports socks,XL,17.75,TRUE,Accessories,2026-04-26
navy blazer,S,263.27,TRUE,Formal,2025-03-31
pink-blouse,S,92.72,TRUE,Tops,2025-11-01
 khaki shorts ,XS,-73.47,TRUE,Bottoms,12-Mar-2025
black boots,Large,14421.5,,Shoes,2025-05-01
red shirt,XL,,Yes,Tops,12/17/2024
brown belt,XL,47.39,FALSE,Accessories,09/18/2025
white tuxedo,XL,523.57,Y,Formal,04-Jun-2025
unknown product,M,50.74,FALSE,Tops,2025-08-29
pink blouse,XL,96.71,FALSE,Tops,02/17/2025
black tuxedo,3XL,free,FALSE,Formal,02/15/2025
brown belt,L,30.06,FALSE,Accessories,2026-02-23
black boots,M,105.72,,Shoes,08/22/2024
white-dress,M,164.7,0,Dresses,not a date
gray sweater,L ,44.52,TRUE,Tops,2026-05-07
black jeans,S,72.65,unknown,Bottoms,2025-05-12T18:02:00
brown belt,XS,,,Accessories,13-Oct-2025
leather wallet,N,free,TRUE,Accessories,15-Apr-2025
gray sweater,XL,123.24,TRUE,Tops,09-Dec-2025
white dress,XL,177.32,FALSE,Dresses,17-Sep-2025
 pink blouse ,XL,62.38,F,Tops,03/08/2025
silver tie,XS,24.58,FALSE,Accessories,08/03/2025
leather wallet,XS,103.14,Y,Accessories,14-Aug-2024
pink blouse, m,,FALSE,Tops,2024-08-25
navy  blazer  ,s,396.55,TRUE,Formal,2025-06-09
khaki shorts,L,31.37,TRUE,Bottoms,28-Feb-2025
leather wallet,,76.64,FALSE,Accessories,2025-10-25
silver tie, L ,-31.5,TRUE,Accessories,08/24/2024
blue pants,XXL,54.09,TRUE,Bottoms,01/08/2026
khaki shorts,XXL,"32,520",FALSE,Bottoms,2025-04-17
black boots,L,205.88,TRUE,Shoes,2024-11-09
sports socks,XS,24.96,T,Accessories,2026-02-10
black boots,S,84.37,FALSE,Shoes,31-Aug-2024
brown belt,M,22.41,FALSE,Accessories,04/24/2025
Black Tuxedo,XS,220.27,FALSE,Formal,
red shirt,XL,$47.59,unknown,Tops,2026-04-06
brown belt,med,49.34,TRUE,Accessories,2024-12-09
silver tie,XL,,TRUE,Accessories,2026-02-27
sports_socks,L,5.18,0,Accessories,2025-10-23
pink blouse,l,45.25 USD,FALSE,Tops,2025-06-23
black boots,XS,286.89 USD,FALSE,Shoes,2025-09-27
brown belt,M,44.28,FALSE,Accessories,23-Nov-2025
,N,93.94 USD,FALSE,Accessories,14-Mar-2025
black jeans,S,,FALSE,Bottoms,2025-09-22
denim jacket,,206.12,FALSE,Outerwear,29-Jan-2025
 red shirt ,XXL,35.4, false,Tops,2025-03-17
black tuxedo,M,276.81,,Formal,24-Oct-2025
denim jacket,XS,204.19,TRUE,Outerwear,2025-05-29
black tuxedo,L,-385.31,TRUE,Formal,2025-08-31
blue shirt,XXL,36.16,FALSE,Tops,10-Apr-2025
gray sweater,XL,"106,00",1,Tops,02-Mar-2025
navy blazer,XXL,-370.75,FALSE,Formal,05-Nov-2024
silver tie,XS,39.44,TRUE,Accessories,01/08/2025
black boots,,-269.26,FALSE,Shoes,23-Jan-2025
navy blazer,S,,TRUE,Formal,12/02/2025
BLACK TUXEDO,M,605.75,FALSE,Formal,2025-11-05T20:59:00
silver tie,S,,FALSE,Accessories,
yellow skirt,L,76.9,,Bottoms,2025-03-08
white tuxedo,xs,21873.5,,Formal,09/03/2024
black tuxedo,S,306.38,TRUE,Formal,04/18/2025
white tuxedo,M,323.03,TrUe,Formal,10/06/2025
white dress,M,,N,Dresses,09/10/2024
silver tie,XL,41.29,FALSE,Accessories,14-Sep-2024
black jeans,XXL,54.52,unknown,Bottoms,2025-04-05
black tuxedo,s,561.92,TRUE,Formal,05/01/2025
black boots,S,150.11,FALSE,Shoes,2025-07-27
White Tuxedo,XL,480.3,unknown,Formal,
black boots,M,198.66,0,Shoes,24-Jun-2025
navy blazer,,374.61,TRUE,Formal,2025-08-03T07:41:00
red shirt,XXL,56.15,TRUE,Tops,12/08/2024
black tuxedo,M,69451.0,TRUE,Formal,2024-09-10
white sneakers,XL,16366.999999999998,FALSE,Shoes,05/16/2025
red shirt,S,44.13,FALSE,Tops,2024-08-27
BLACK JEANS,XL,98.36,TRUE,Bottoms,2025-12-04
navy blazer,L,-365.66,FALSE,Formal,09/03/2025
pink blouse,xl,"112,140",FALSE,Tops,01/10/2025
red shirt,S,"55,59",Yes,Tops,08/10/2025
DENIM JACKET,M,"217,86",TRUE,Outerwear,11-Jan-2025
yellow skirt,M,104.62,N,Bottoms,09/28/2025
red shirt,S,,TRUE,Tops,2024-12-04T14:07:00
black boots,XL,210.95,FALSE,Shoes,10/30/2024
brown belt,xs,33.96,FALSE,Accessories,not a date
 blue pants ,N,63.13,TRUE,Bottoms,17-Oct-2025
black boots,,220.08,FALSE,Shoes,2024-08-12
blue shirt,XL,,unknown,Tops,2025-06-28
gray sweater,XL,129.03,,Tops,03-Dec-2024
black boots,XS,$138.36,TRUE,Shoes,26-Jan-2026
navy blazer,XL,231.24,FALSE,Formal,05/15/2025
green hoodie,S,$45.92,,Tops,13/40/2024
Sports Socks,x l,"16,04",1,Accessories,2025-09-04
leather wallet,L,"75,25",TRUE,Accessories,
brown belt,XL,free,unknown,Accessories,2025-07-19
sports socks,L,15.85,TRUE,Accessories,2025-12-22
blue_pants  ,L,,TRUE,Bottoms,08-Mar-2025
khaki shorts,XXL,35.33,TRUE,Bottoms,09/02/2025
red shirt, S ,49.57,TRUE,Tops,28-Apr-2025
yellow skirt,M,71.95,TRUE,Bottoms,2026-01-12
Black Jeans,S,$45.39,FALSE,Bottoms,2025-03-28
red shirt,S,28.2,TRUE,Tops,21-May-2025
silver tie,med,26.07,FALSE,Accessories,07/18/2025
Navy Blazer,XS,$231.40,,Formal,12/18/2024
white tuxedo,XS,310.41,FALSE,Formal,10/21/2025
gray sweater,XL,48.02,FALSE,Tops,14-Jun-2025
gray sweater,L,97.63,FALSE,Tops,27-May-2025
silver tie,,60.06,TRUE,Accessories,24-Oct-2024
navy blazer,XL,,TRUE,Formal,2025-04-22
